Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing
0,-,#0-D1-MAPIBr_3_1_10mM_100C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,10,100
1,-,#1-C1-MAPIBr_3_1_5mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,5,100
2,-,#2-B1---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,NaN,0,0
3,-,#3-A1-MAPIBr_3_1_10mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,10,75
4,-,#4-D2-MAPIBr_3_1_5mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,5,100
5,-,#5-C2-MAPIBr_3_1_5mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,5,100
6,-,#6-B2-MAPIBr_3_1_10mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,10,75
7,-,#7-A2-MAPIBr_3_1_10mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,10,75
8,-,#8-D3-MAPIBr_3_1_5mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,100
9,-,#9-C3-MAPIBr_3_1_10mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,10,75
10,-,#10-B3-MAPIBr_3_1_10mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,10,75
11,-,#11-A3-MAPIBr_3_1_5mM_75C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,5,75
12,-,#12-D4-MAPIBr_3_1_10mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,10,75
13,-,#13-C4-MAPIBr_3_1_5mM_75C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,5,75
14,-,#14-B4-MAPIBr_3_1_5mM_75C_cap4-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,04,5,75
15,-,#15-A4-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0
16,-,#16-D5-MAPIBr_3_1_5mM_75C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,5,75
17,-,#17-C5-MAPIBr_3_1_5mM_75C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,5,75
18,-,#18-B5-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0
19,-,#19-A5-MAPIBr_3_1_10mM_100C_cap1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,01,10,100
20,-,#20-D6-MAPIBr_3_1_5mM_75C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,5,75
21,-,#21-C6-MAPIBr_3_1-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,0,0,0
22,-,#22-B6-MAPIBr_3_1_10mM_100C_cap2-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,02,10,100
23,-,#23-A6-MAPIBr_3_1_10mM_100C_cap5-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,05,10,100
24,-,#24-D7---MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,NaN,0,0
25,-,#25-C7-MAPIBr_3_1_10mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,10,100
26,-,#26-B7-MAPIBr_3_1_10mM_100C_PTAI-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,PTEAI,10,100
27,-,#27-A7-MAPIBr_3_1_5mM_100C_cap3-MAPbI0.75 MAPbBr0.25 MAPbCl0.0 ,0.75,0.25,0,03,5,100
