Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing
0,-,#0-D1-MAPIBr_0_1_10mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,75
1,-,#1-C1-MAPIBr_0_1_5mM_75C_cap8-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,08,5,75
2,-,#2-B1-MAPIBr_0_1_5mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,75
3,-,#3-A1-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
4,-,#4-D2-MAPIBr_0_1_5mM_75C_cap9-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,09,5,75
5,-,#5-C2-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
6,-,#6-B2---MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,NaN,0,0
7,-,#7-A2-MAPIBr_0_1_10mM_100C_cap8-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,08,10,100
8,-,#8-D3-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
9,-,#9-C3-MAPIBr_0_1_10mM_100C_cap6-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,06,10,100
10,-,#10-B3-MAPIBr_0_1_10mM_100C_cap9-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,09,10,100
11,-,#11-A3-MAPIBr_0_1_5mM_100C_cap6-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,06,5,100
12,-,#12-D4-MAPIBr_0_1_10mM_100C_cap7-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,07,10,100
13,-,#13-C4-MAPIBr_0_1_10mM_100C_cap10-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,10,10,100
14,-,#14-B4-MAPIBr_0_1_5mM_100C_cap7-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,07,5,100
15,-,#15-A4-MAPIBr_0_1_5mM_100C_cap10-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,10,5,100
16,-,#16-D5-MAPIBr_0_1_10mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,100
17,-,#17-C5-MAPIBr_0_1_5mM_100C_cap8-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,08,5,100
18,-,#18-B5-MAPIBr_0_1_5mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,100
19,-,#19-A5-MAPIBr_0_1_10mM_75C_cap8-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,08,10,75
20,-,#20-D6-MAPIBr_0_1_5mM_100C_cap9-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,09,5,100
21,-,#21-C6-MAPIBr_0_1_10mM_75C_cap6-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,06,10,75
22,-,#22-B6-MAPIBr_0_1_10mM_75C_cap9-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,09,10,75
23,-,#23-A6-MAPIBr_0_1_5mM_75C_cap6-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,06,5,75
24,-,#24-D7-MAPIBr_0_1_10mM_75C_cap7-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,07,10,75
25,-,#25-C7-MAPIBr_0_1_10mM_75C_cap10-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,10,10,75
26,-,#26-B7-MAPIBr_0_1_5mM_75C_cap7-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,07,5,75
27,-,#27-A7-MAPIBr_0_1_5mM_75C_cap10-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,10,5,75
